uid,end_time_var_oncampus,daily_day_oncampus,fp_53_commons;sudikoff,fp_occum,neuro
1,-0.15,-0.883,-0.87,-0.507,2.75
2,-0.607,-0.311,0.109,-0.507,3.5
3,-2.039,-0.868,-0.87,-0.507,3.375
4,0.131,-0.683,-0.87,-0.149,4.125
5,0.692,1.554,0.109,1.641,2.75
7,-0.048,-0.636,1.088,-0.507,2.143
8,1.311,-0.344,2.067,-0.507,3.25
9,-0.682,-0.322,-0.87,0.209,2.125
10,-1.586,0.194,-0.87,-0.507,3.375
14,0.686,2.638,-0.87,1.283,2.429
15,-0.201,-0.666,0.109,-0.507,2.75
16,-1.159,-0.223,1.088,-0.149,4.25
17,-1.865,-0.452,-0.87,-0.507,3.125
18,-0.124,-0.037,-0.87,-0.507,3.75
19,0.919,-0.126,-0.87,-0.507,3.625
20,0.522,-0.69,0.109,-0.507,2.375
22,0.325,-0.866,0.109,-0.149,2.875
23,-1.563,-0.736,0.109,-0.507,3.75
24,0.398,-0.627,1.088,-0.507,3.125
27,-1.138,-0.49,-0.87,-0.507,3.125
30,1.229,2.679,3.046,2.357,2
32,1.484,2.366,0.109,4.148,1.75
33,1.098,-0.824,-0.87,-0.507,3.625
35,0.886,-0.632,0.109,-0.507,2.625
43,-0.087,-0.663,1.088,-0.507,2.5
46,0.895,1.302,0.109,0.567,3.5
49,1.062,0.23,0.109,-0.507,2.5
50,-0.656,0.893,-0.87,-0.507,2.5
52,-0.799,-0.201,-0.87,-0.507,4.125
53,-1.214,-0.394,-0.87,-0.507,4.5
54,0.476,-0.556,0.109,-0.507,2.75
57,1.036,1.228,2.067,0.567,2.125
58,-1.427,-0.876,-0.87,-0.507,3.875
59,1.394,-0.779,1.088,1.283,2.875
