uid,len_var_thr,start_time_var_thr,daily_evening_oncampus,fp_sport-venues,openn
1,-0.601,-0.272,-0.475,-0.899,3.9
2,-1.364,-0.802,-0.067,1.54,3.2
3,-1.027,-0.921,-0.858,-0.899,2.7
4,3.046,-0.893,-0.673,2.649,2.9
5,0.078,-0.555,2.368,1.54,3.3
7,1.219,-0.924,-0.583,1.54,2.3
8,-0.994,-0.596,0.102,-0.234,3.3
9,0.502,-0.735,-0.354,-0.234,3.3
10,-1.223,-0.844,-0.699,-0.456,3.6
14,2.348,2.936,-0.364,-0.456,3.3
15,-1.062,2.909,-0.502,0.431,3
16,0.007,-0.708,-0.578,0.431,3.8
17,0.373,-0.706,-0.665,-0.678,4.5
18,0.323,-0.897,2.696,0.209,2.5
19,-0.296,-0.55,0.036,-0.456,3.2
20,-0.818,-0.949,-0.613,-0.234,3.6
22,-0.291,0.836,-0.727,0.653,3.8
23,-0.232,-0.142,-0.663,-0.678,3.6
24,-0.238,-0.293,-0.296,-0.456,3.5
27,0.289,-0.346,-0.371,-0.899,3.3
30,0.759,-0.682,1.283,-0.456,3.6
32,0.965,0.557,-0.253,-0.678,3.7
33,-1.286,0.447,-0.738,-0.899,4.6
35,0.227,-0.381,-0.609,-0.899,3.4
43,0.24,0.358,-0.385,-0.899,3.3
46,-0.371,1.546,-0.26,-0.012,4.2
49,-0.481,1.087,0.172,-0.012,4.3
50,-1.191,0.539,0.566,-0.899,3.5
52,1.705,-0.095,-0.298,-0.899,3.5
53,-1.022,1.254,-0.665,-0.456,4.4
54,0.421,-0.465,-0.275,-0.678,3.1
57,1.153,-0.721,1.195,1.54,2.7
58,-0.851,1.282,-0.726,0.653,3.6
59,0.025,-0.593,-0.52,-0.234,3.5
