# uid,len_var_thr,start_time_var_thr,daily_evening_oncampus,fp_sportvenues,openn
1.000,-0.601,-0.272,-0.475,-0.899,1.000
2.000,-1.364,-0.802,-0.067,1.540,0.000
3.000,-1.027,-0.921,-0.858,-0.899,0.000
4.000,3.046,-0.893,-0.673,2.649,0.000
5.000,0.078,-0.555,2.368,1.540,0.000
7.000,1.219,-0.924,-0.583,1.540,0.000
8.000,-0.994,-0.596,0.102,-0.234,0.000
9.000,0.502,-0.735,-0.354,-0.234,0.000
10.000,-1.223,-0.844,-0.699,-0.456,1.000
14.000,2.348,2.936,-0.364,-0.456,0.000
15.000,-1.062,2.909,-0.502,0.431,0.000
16.000,0.007,-0.708,-0.578,0.431,1.000
17.000,0.373,-0.706,-0.665,-0.678,1.000
18.000,0.323,-0.897,2.696,0.209,0.000
19.000,-0.296,-0.550,0.036,-0.456,0.000
20.000,-0.818,-0.949,-0.613,-0.234,1.000
22.000,-0.291,0.836,-0.727,0.653,1.000
23.000,-0.232,-0.142,-0.663,-0.678,1.000
24.000,-0.238,-0.293,-0.296,-0.456,1.000
27.000,0.289,-0.346,-0.371,-0.899,0.000
30.000,0.759,-0.682,1.283,-0.456,1.000
32.000,0.965,0.557,-0.253,-0.678,1.000
33.000,-1.286,0.447,-0.738,-0.899,1.000
35.000,0.227,-0.381,-0.609,-0.899,0.000
43.000,0.240,0.358,-0.385,-0.899,0.000
46.000,-0.371,1.546,-0.260,-0.012,1.000
49.000,-0.481,1.087,0.172,-0.012,1.000
50.000,-1.191,0.539,0.566,-0.899,1.000
52.000,1.705,-0.095,-0.298,-0.899,1.000
53.000,-1.022,1.254,-0.665,-0.456,1.000
54.000,0.421,-0.465,-0.275,-0.678,0.000
57.000,1.153,-0.721,1.195,1.540,0.000
58.000,-0.851,1.282,-0.726,0.653,1.000
59.000,0.025,-0.593,-0.520,-0.234,1.000
